subgraph id = 36
Nreal : 265
=================================
Full list of 265 members:

1	24	2	
1	39	2	
1	36	33	
2	36	33	
9	36	33	
21	36	33	
22	28	24	
22	39	32	
22	62	43	
23	28	24	
23	28	26	
23	39	32	
23	62	43	
24	39	38	
25	39	32	
25	36	33	
25	39	38	
25	62	43	
25	45	44	
26	39	34	
26	39	35	
27	36	33	
28	39	31	
28	36	33	
28	39	35	
28	39	37	
28	62	43	
29	36	33	
30	39	31	
33	39	35	
37	62	43	
41	62	43	
41	63	43	
22	39	8	
22	25	9	
22	28	9	
22	23	21	
22	28	21	
22	39	21	
23	25	1	
23	27	1	
23	28	1	
23	29	1	
23	31	1	
23	28	21	
23	39	21	
24	25	2	
24	39	2	
24	25	3	
24	27	3	
24	39	3	
24	25	4	
24	39	4	
24	25	11	
24	39	11	
25	29	0	
25	30	0	
25	39	0	
25	27	1	
25	28	1	
25	29	1	
25	31	1	
25	28	2	
25	39	2	
25	27	3	
25	28	3	
25	39	3	
25	28	4	
25	39	4	
25	28	9	
25	28	11	
25	39	11	
25	39	15	
25	39	17	
25	53	20	
26	33	5	
26	39	5	
26	31	6	
26	32	6	
26	33	6	
26	39	6	
27	29	1	
27	31	1	
27	32	1	
27	39	3	
28	29	1	
28	32	1	
28	39	2	
28	39	3	
28	39	4	
28	39	11	
28	39	12	
28	39	18	
28	39	21	
29	30	0	
29	31	1	
29	32	1	
30	39	0	
31	32	1	
31	32	6	
31	33	6	
32	33	6	
33	39	5	
33	39	6	
48	51	16	
62	63	43	
1	9	33	
1	21	33	
2	9	33	
2	21	33	
2	27	33	
2	29	33	
7	8	47	
7	14	47	
7	24	47	
7	29	47	
7	31	47	
7	38	47	
8	14	47	
8	24	47	
8	29	47	
8	31	47	
8	38	47	
9	21	33	
9	27	33	
9	29	33	
9	17	49	
9	39	49	
9	10	50	
9	11	50	
9	15	50	
9	16	50	
9	17	50	
9	18	50	
9	39	50	
10	11	50	
10	15	50	
10	16	50	
10	17	50	
10	18	50	
11	15	50	
11	16	50	
11	17	50	
11	18	50	
11	12	52	
11	18	52	
11	19	52	
12	18	52	
12	19	52	
14	24	47	
14	29	47	
14	31	47	
14	38	47	
15	16	50	
15	17	50	
15	18	50	
15	28	56	
15	40	56	
15	44	56	
15	46	56	
15	47	56	
15	55	56	
16	17	50	
16	18	50	
17	18	50	
18	19	52	
19	28	52	
19	39	52	
21	25	33	
21	27	33	
21	29	33	
21	24	38	
21	25	38	
21	29	38	
21	27	45	
21	30	45	
22	23	24	
22	23	32	
22	25	32	
22	23	43	
22	25	43	
22	28	43	
22	37	43	
22	41	43	
22	27	45	
22	28	45	
22	30	45	
22	39	45	
22	39	61	
22	23	63	
22	25	63	
22	28	63	
22	37	63	
22	39	63	
22	42	63	
23	25	32	
23	25	43	
23	28	43	
23	37	43	
23	41	43	
23	25	63	
23	28	63	
23	37	63	
23	39	63	
23	42	63	
24	25	38	
24	29	38	
24	29	47	
24	31	47	
25	27	33	
25	28	33	
25	29	33	
25	29	38	
25	30	40	
25	28	43	
25	37	43	
25	41	43	
25	39	44	
25	28	57	
25	28	63	
25	37	63	
25	39	63	
25	42	63	
26	31	35	
26	32	35	
26	33	35	
27	29	33	
27	30	45	
27	39	45	
28	30	31	
28	29	33	
28	32	35	
28	30	45	
28	39	45	
28	39	52	
28	39	53	
28	39	54	
28	40	56	
28	44	56	
28	46	56	
28	47	56	
28	55	56	
28	39	59	
28	39	63	
28	42	63	
29	31	47	
30	39	45	
31	32	35	
31	33	35	
31	38	47	
32	33	35	
37	41	43	
37	42	63	
40	44	56	
40	46	56	
40	47	56	
40	55	56	
44	46	56	
44	47	56	
44	55	56	
46	47	56	
47	55	56	
48	50	58	
48	52	58	
50	52	58	

